unit,unit_kind,members,D_margin,D_rule,N_margin,N_rule,reading,own_cap,own_cap_members,R_CO,R_INF,R_DEV,R_NONE,synthetic,quote_1,quote_2,quote_3,quote_4,quote_5,quote_6,quote_7,quote_8,source_1,source_2,source_3,source_4,source_5,source_6,source_7,source_8,url_1,url_2,url_3,url_4,url_5,url_6,url_7,url_8,retrieved_1,retrieved_2,retrieved_3,retrieved_4,retrieved_5,retrieved_6,retrieved_7,retrieved_8,quote_role_1,quote_role_2,quote_role_3,quote_role_4,quote_role_5,quote_role_6,quote_role_7,quote_role_8,protocol_version,coder,note
Apertus,common-budget,Apertus-8B-2509; Apertus-70B-2509,choice,K2,free,not stated,choice,0,,0,0,0,1,1,"Note that not nec- essarily all tokens of each stage data were consumed, due to the stage duration.",Stage 2 (5T - 9T tokens) FineWeb-HQ (33% highest quality) 4064 FineWeb-2-HQ (33% highest quality) and FineWeb-2 (random 33% sample of remaining languages) 3557 FineWeb-Edu (Score-3) 1179,"For task data we rely on EuroBlocks-SFT-Synthetic- 112427 (Martins et al., 2025) for multilingual instruction and task data","English as well as multilingual instruction and task data, the Data Provenance Initiative subset of Flan and the Euroblocks.",We include a small amount of synthetically gener- ated examples into the corpus to conduct scientific research in pretraining data poison- ing,,,,apertus_report,apertus_report,apertus_report,apertus_report,apertus_report,,,,https://arxiv.org/pdf/2509.14233,https://arxiv.org/pdf/2509.14233,https://arxiv.org/pdf/2509.14233,https://arxiv.org/pdf/2509.14233,https://arxiv.org/pdf/2509.14233,,,,2026-09-24T18:18:13,2026-09-24T18:18:13,2026-09-24T18:18:13,2026-09-24T18:18:13,2026-09-24T18:18:13,,,,D,D,synthetic,synthetic,synthetic,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"K2: stage mixes (Table 6) hold more tokens than each stage consumed. 'DCLM-edu is limited in size' concerns one component, not the budget: not coded C. Synthetic: EuroBlocks-SFT-Synthetic (stage 5) and poisoning examples are called synthetic; the generator is not named (coded 1 because the protocol equates synthetic with model-generated). Card: 'running on-device with MLX' is deployment support, not a size rationale (R_DEV 0). GQA for inference efficiency is architecture (Amendment 3)."
DeepSeek-LLM,common-budget,deepseek-llm-7b-base; deepseek-llm-67b-base,cap,C1,menu,"prevalent configurations (7B, 67B)",cap+menu,1,deepseek-llm-7b-base; deepseek-llm-67b-base,0,0,0,1,0,"To support the pre-training phase, we have developed a dataset that currently consists of 2 trillion tokens and is continuously expanding.","facilitate the scaling of large scale models in two prevalent used open- source configurations, 7B and 67B.","These layer adjustments, while maintaining parameter consistency with other open-source models, also facilitate model pipeline partitioning to optimize training and inference.",,,,,,deepseek_llm_report,deepseek_llm_report,deepseek_llm_report,,,,,,https://arxiv.org/pdf/2401.02954,https://arxiv.org/pdf/2401.02954,https://arxiv.org/pdf/2401.02954,,,,,,2026-09-24T18:18:00,2026-09-24T18:18:00,2026-09-24T18:18:00,,,,,,D+own_cap,N,N,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"C1 is the protocol's own example wording ('the dataset currently consists of X tokens'); own cap 1 for both members by Amendment 1. R_CO not coded: 'Guided by the scaling laws, we introduce DeepSeek LLM' does not say the sizes or the 2T budget were set by the law (sizes are prevalent configurations). GQA for inference cost is architecture."
Granite-3.0,common-budget,granite-3.0-2b-base; granite-3.0-8b-base,choice,K2,free,not stated,choice,0,,0,1,1,0,1,"In stage 1, our dense and MoE models are trained on 10 trillion and 8 trillion tokens, respectively.",The FineWeb dataset consists of more than 15T tokens of cleaned and deduplicated English web data from CommonCrawl,This is a 4T token / 3B document pretraining dataset that achieves strong performance on language model benchmarks,"the new IBM Granite 3.0 models deliver state-of-the-art performance relative to model size while maximizing safety, speed and cost-efficiency for enterprise use cases.","these models target enterprise use cases, including on-premise and on-device settings.","Some of the data sources for stage 2 are the same as the stage 1 data sources, mixed with a small amount of high-quality open-source and synthetic corpora with permissive licenses.",Language Instructions [P2][IBM-Synthetic]: Synthetic dataset of instruction-response pairs created using EvolInstruct to improve complex reasoning and conversation skills.,We only use open-source teacher models with a non-restrictive license to generate instructions and their respective responses.,granite30_report,granite30_report,granite30_report,granite30_announcement,granite30_report,granite30_report,granite30_report,granite30_report,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,https://www.ibm.com/new/announcements/ibm-granite-3-0-open-state-of-the-art-enterprise-models,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,2026-09-24T18:18:08,2026-09-24T18:18:08,2026-09-24T18:18:08,2026-09-24T18:25:44,2026-09-24T18:18:08,2026-09-24T18:18:08,2026-09-24T18:18:08,2026-09-24T18:18:08,D,D,D,R_INF,R_DEV,synthetic,synthetic,synthetic,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"K2 is inferred from stated sizes: the 10T stage-1 budget draws on FineWeb (listed P1, more than 15T tokens) and the 2T stage 2 on DCLM-Baseline (listed P2, 4T tokens); the sources do not say in words that the budget is part of a larger pool. No C evidence. MoE models (10T) are not same-data evidence for K3 (fewer tokens)."
Llama#1,common-budget,llama-7b; llama-13b,choice,K3,free,not stated,choice,0,,0,1,1,0,0,LLaMA-33B and LLaMA- 65B were trained on 1.4T tokens. The smaller models were trained on 1.0T tokens.,The pre-training runs on 1T tokens have the same sampling proportion.,"The focus of this work is to train a series of language models that achieve the best possible per- formance at various inference budgets, by training on more tokens than what is typically used.","We believe that this model will help democratize the access and study of LLMs, since it can be run on a single GPU.",This model runs on a single V100 GPU during inference.,,,,llama1_report,llama1_report,llama1_report,llama1_report,llama1_report,,,,https://arxiv.org/pdf/2302.13971,https://arxiv.org/pdf/2302.13971,https://arxiv.org/pdf/2302.13971,https://arxiv.org/pdf/2302.13971,https://arxiv.org/pdf/2302.13971,,,,2026-09-24T18:18:18,2026-09-24T18:18:18,2026-09-24T18:18:18,2026-09-24T18:18:18,2026-09-24T18:18:18,,,,D,D,R_INF,R_DEV,R_DEV,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"R_DEV statements single out LLaMA-13B (a member of this unit). R_CO not coded: 'inspired by the Chinchilla scaling laws' describes the approach, and the same page sets budgets beyond the Chinchilla allocation for inference."
Llama#2,common-budget,llama-30b; llama-65b,cap or choice,size only,free,not stated,cap or choice,0,,0,1,0,0,0,"Overall, our entire training dataset contains roughly 1.4T tokens after tokenization. For most of our training data, each token is used only once dur- ing training, with the exception of the Wikipedia and Books domains, over which we perform ap- proximately two epochs.",LLaMA-33B and LLaMA- 65B were trained on 1.4T tokens.,"The focus of this work is to train a series of language models that achieve the best possible per- formance at various inference budgets, by training on more tokens than what is typically used.",,,,,,llama1_report,llama1_report,llama1_report,,,,,,https://arxiv.org/pdf/2302.13971,https://arxiv.org/pdf/2302.13971,https://arxiv.org/pdf/2302.13971,,,,,,2026-09-24T18:18:18,2026-09-24T18:18:18,2026-09-24T18:18:18,,,,,,D,D,R_INF,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,"Budget equals the stated entire dataset (1.4T); two epochs on Wikipedia and Books is upsampling (Section 6), so no C2. Single-GPU statements single out LLaMA-13B (other unit), so R_DEV 0."
Llama-2,common-budget,Llama-2-7b-hf; Llama-2-13b-hf; Llama-2-70b-hf,choice,K1,free,not stated,choice,0,,0,0,0,1,0,We trained on 2 trillion tokens of data as this provides a good performance–cost trade-off,,,,,,,,llama2_report,,,,,,,,https://arxiv.org/pdf/2307.09288,,,,,,,,2026-09-24T18:17:47,,,,,,,,D,,,,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,Protocol K1 example. GQA 'for improved inference scalability' of 34B/70B is architecture (Amendment 3). The saved llama2_blog text is an unrelated Meta developer page (not used).
Llama-3 herd,common-budget,Meta-Llama-3-8B; Meta-Llama-3-70B; Llama-3.1-405B,choice,K1,free,not stated,choice,0,,1,1,0,0,0,Extrapolation of the resulting scaling law to3.8× 1025 FLOPs suggests training a 402B parameter model on 16.55T tokens.,"Based on this observation, we ultimately decided to train a flagship model with 405B parameters.","We pre-train Llama 3 on a corpus of about 15T multilingual tokens, compared to 1.8T tokens for Llama 2.","While our scaling laws suggest our flagship model is an approximately compute-optimal size for our training budget, we also train our smaller models for much longer than is compute-optimal.",The resulting models perform better than compute-optimal models at the same inference budget.,smaller models are generally preferred because they are much more efficient during inference.,,,llama3_report,llama3_report,llama3_report,llama3_report,llama3_report,llama3_blog,,,https://arxiv.org/pdf/2407.21783,https://arxiv.org/pdf/2407.21783,https://arxiv.org/pdf/2407.21783,https://arxiv.org/pdf/2407.21783,https://arxiv.org/pdf/2407.21783,https://ai.meta.com/blog/meta-llama-3/,,,2026-09-24T18:17:50,2026-09-24T18:17:50,2026-09-24T18:17:50,2026-09-24T18:17:50,2026-09-24T18:17:50,2026-09-24T18:17:52,,,D,D,D,R_CO,R_INF,R_INF,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,K1 from the flagship (a member): its size and tokens follow from the compute-optimal allocation of a 3.8e25 FLOP budget. The corpus is 'about 15T' and the 8B/70B used it once (size-only evidence); 'longer than compute-optimal' and 'continued to improve' are not token-margin evidence. Borderline: a coder who does not read the flagship allocation as K1 would code 'cap or choice' (size only).
MPT,common-budget,mpt-7b; mpt-30b,choice,K2,menu,named GPU (single A100-80GB / A100-40GB),menu,0,,0,1,1,0,0,the model was pre-trained on 1T tokens sampled according to this mix.,We collected 1T tokens of pre-training data from ten different open-source text corpora. We tokenized the text using the EleutherAI GPT-NeoX-20B tokenizer and sampled according to the above ratios.,The size of MPT-30B was also specifically chosen to make it easy to deploy on a single GPU,"Other comparable LLMs such as Falcon-40B have larger parameter counts and cannot be served on a single datacenter GPU (today); this necessitates 2+ GPUs, which increases the minimum inference system cost.",,,,,mpt7b_blog,mpt30b_blog,mpt30b_blog,mpt30b_blog,,,,,https://www.databricks.com/blog/mpt-7b,https://www.databricks.com/blog/mpt-30b,https://www.databricks.com/blog/mpt-30b,https://www.databricks.com/blog/mpt-30b,,,,,2026-09-24T18:18:03,2026-09-24T18:18:05,2026-09-24T18:18:05,2026-09-24T18:18:05,,,,,D,D,N+R_DEV,R_INF,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,K2 wording 'sampled according to this mix' (protocol example 'sampled from a larger mix'). Menu: MPT-30B size set to fit one named GPU.
OLMo-2#1,common-budget,OLMo-2-0425-1B; OLMo-2-1124-7B,choice,K1; K3,free,not stated,choice,0,,0,0,0,1,1,"Similar toOLMo 27B, we use 2000 steps of warmup, set the schedule to 5 trillion tokens but truncate at the 4 trillion mark.","Accordingly, for the 7B variant, we stop the schedule at 4T tokens and then switch to mid-training","OLMo 2 7B is trained for one epoch , up to 4T tokens, OLMo 2 13B is trained for 1.3 epochs , up to 5T tokens, OLMo 2 32B is trained for 1.5 epochs , up to 6T tokens.",We generated approximately 6.5B tokens of synthetic math data from rewritten versions of Tiny-GSM,Then we pass all of these annotated examples to Qwen2.5-7B-Instruct to be rewritten in the style of MIND,perform a single 50B token anneal onDolmino Mix 1124.,,,olmo2_report,olmo2_report,olmo2_32b_blog,olmo2_report,olmo2_report,olmo2_report,,,https://arxiv.org/pdf/2501.00656,https://arxiv.org/pdf/2501.00656,https://allenai.org/blog/olmo2-32B,https://arxiv.org/pdf/2501.00656,https://arxiv.org/pdf/2501.00656,https://arxiv.org/pdf/2501.00656,,,2026-09-24T18:18:24,2026-09-24T18:18:24,2026-09-24T18:25:51,2026-09-24T18:18:24,2026-09-24T18:18:24,2026-09-24T18:18:24,,,D,D,D,synthetic,synthetic,synthetic,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,K1: cosine schedules planned for 5T and truncated at 4T (1B and 7B). K3: 13B and 32B trained on more tokens of the same OLMo 2 Mix 1124. 7B 'approximately one epoch' does not count as own cap. The 1B is described as an experimentation size (no listed rationale).
Olmo-3,common-budget,Olmo-3-1025-7B; Olmo-3-1125-32B,choice,K2; K1,free,not stated,choice,0,,0,0,1,0,1,"Olmo 3 is pretrained on Dolma 3 , a new ~9.3-trillion-token corpus drawn from web pages, science PDFs processed with olmOCR , codebases, math problems and solutions, and encyclopedic text. From this pool, we construct Dolma 3 Mix , a 5.9-trillion-token (~6T) pretraining mix","The learning rate schedule is a cosine schedule over one epoch (5.93T tokens), truncated at 5.5T tokens.","Olmo 3 is a family of compact, dense models at 7 billion and 32 billion parameters that can run on everything from laptops to research clusters.","Using these annotations as foundation, we promptGPT-4.1 and o4-mini to generate thinking traces for each capability-targeted task.",,,,,olmo3_blog,olmo3_report,olmo3_blog,olmo3_report,,,,,https://allenai.org/blog/olmo3,https://arxiv.org/pdf/2512.13961,https://allenai.org/blog/olmo3,https://arxiv.org/pdf/2512.13961,,,,,2026-09-24T18:25:52,2026-09-24T18:18:16,2026-09-24T18:25:52,2026-09-24T18:18:16,,,,,D,D,R_DEV,synthetic,,,,,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3,B,K2 is the protocol example (6T mix drawn from a 9T pool); K1 from the 32B schedule truncated at 5.5T. Quality-aware upsampling inside the mix is not own cap. The 32B 'small enough that a wide audience can fine-tune and deploy them on accessible hardware' was also read; R_DEV rests on the laptop statement for the family.
