cid,result,claim,verdict,method,passed,metric,note
GW.foc,Prop. A8(i),"Any objective V(L,N): w = (1+delta+m_N+xi g_n/X_T)/(1+m_D+xi g_d/X_T); with delta=m_D=0 and no binding constraint, w-1 = (-dV/dlnN|_L)/(c_train 6ND)",NEW,sympy,True,max|err| at 12 random points = 1.0e-171,
GW.a.sym,Prop. A8(iii)(a),"Serving borne at rate lambda: w - 1 = lambda p (phi+eta) T/(3D) - R_n/X_T; = lambda p T/(3D) when phi=1, eta=0, R_n=0",NEW,sympy,True,exact,
GW.a.share,Prop. A8(iii)(a),s=(w-1)/w = lambda X_S/(X_T+lambda X_S): internalized serving share of lifetime expenditure; needs no FLOP-to-dollar conversion (p),NEW,sympy,True,exact,
GW.d.sym,Prop. A8(iii)(d),"Data cost: w=(1+m_N)/(1+m_D), dw/dm_D<0; s=(X_S-X_D)/(X_T+X_S); T-hat/D = (T/D - 3m_D)/(1+m_D) < T/D",NEW,sympy,True,exact,
GW.e.sym,Prop. A8(iii)(e),"Logit distillation (teacher N_T): w = (1+T/(3D))/(1+N_T/(3N)) (Referee 2, Major 4c): teacher passes are a per-token data cost with m_D = N_T/(3N)",VERIFIED,sympy,True,exact,
GW.f.sym,Prop. A8(iii)(f),MFU varying with size (dollar cost ~ N^{1+delta}D): w = 1+delta+lambda(1+delta_S)X_S/X_T; = (1+delta)(1+lambda p T/(3D)) iff serving cost per FLOP has the same size elasticity (delta_S=delta),CORRECTED,sympy,True,exact; exact,Referee 1's (1+delta)(1+T/3D) needs delta_S = delta; with FLOP-proportional serving cost (delta_S=0) the form is additive.
GW.sign,Prop. A8(iv),"A binding constraint g(n,d)<=0 raises w iff g_n/g_d > w: memory/tier caps and latency SLOs raise w; data caps, data-parallel deadlines and minimum-size floors lower it; compute-bound deadlines pull w toward 1",NEW,sympy,True,d w/d xi at 0 = (g_n B - g_d A)/B^2,
FAM.sym,Prop. A9(ii)-(iii),"Family FOC: sum_i omega_i(1+m_N,i)/w_i = 1+m_D; hence sum_i pi_i(1+m_N,i) = (1+m_D) w_H (pi_i ~ omega_i/w_i, w_H = compute-weighted harmonic mean), sum pi_i w_i = w_H, and 1-1/w_H = sum omega_i s_i",NEW,sympy,True,exact,
FAM.slope,Prop. A9(i),Common D: ln w_i - ln w_j = -a_1 (ln N_i - ln N_j) exactly in the generalized family; the cross-size profile of T-hat_i = 3D(w_i-1) is fixed by the technology,NEW,sympy,True,exact,
MF.w,Prop. A10(i),"For any smooth technology and any monotone output: w = F_n/F_d = (Y_c-Y_x)/(Y_c+Y_x) = (L_c-L_x)/(L_c+L_x), x = ln M, c = ln C (Referee 1, comment 7)",NEW,sympy,True,exact,
