cid,source,claim,verdict,method,passed,metric,note
MS.T,model_spec,"y = -ln(L-E) = omega + F(n+psi_N, d+psi_D) - epsilon holds exactly (no approximation) given E",IMPRECISE,sympy,True,exact,Exact identity; the qualifier 'up to the E-level approximation' is unnecessary (it only matters if E is estimated or lab-specific).
MS.EL,model_spec,"eps_N = alpha u/(u+v), eps_D = beta v/(u+v) with u,v in effective units; free of omega, epsilon, E",IMPRECISE,sympy,True,exact,"Write alpha u/(u+v): with omega, epsilon != 0 the observed L-E equals e^{-omega+epsilon}(u+v), so 'alpha u/R' is correct only if R denotes u+v."
MS.SIG,model_spec,sigma = (au+bv)/(au(1+beta)+bv(1+alpha)) (Hicks) and 1/sigma = 1 + s beta + (1-s) alpha,VERIFIED,sympy,True,exact; exact,
MS.SIGW,new,"local sigma depends on (N,D) only through the wedge: sigma(w) = (1+w)/(1+alpha+w(1+beta)); sigma(1) = sigma* = 2/(2+alpha+beta)",NEW,sympy,True,exact,
MS.SIGORD,new,"sigma is ordinal: identical for any monotone transform g(-R) of output (loss, BPB, accuracy link)",NEW,sympy,True,exact,
SOC,new,"General 2-input: sigma = P/(P+Q), P = F_nF_d(F_n+F_d) > 0, Q = -(F_nn F_d^2 - 2F_nd F_nF_d + F_dd F_n^2); at eps_N = eps_D the compute-optimum SOC (F concave along n+d=c) <=> Q > 0 <=> sigma < 1",NEW,sympy,True,exact,With multiplicative cost 6ND an interior compute-optimal allocation exists only where sigma < 1: observed interior optima reveal gross complementarity.
P1.path,model_spec/SYNTHESIS P1,"FOC alpha u = beta v; N* = G (C/6)^a, D* = G^-1 (C/6)^b; L*(C) = E + K (C/6)^-gamma; K = ((a+b)/b) A G^-alpha = (alpha+beta)(A/beta)^{a}(B/alpha)^{b}",VERIFIED,sympy,True,exact; max|err| at random points = 5.4e-166; max|err| at random points = 1.1e-165,
P1.cost,SYNTHESIS P1,Cost function C*(R) = 6 [K/R]^{1/gamma} inverts the frontier; d ln C*/d ln R = -1/gamma,VERIFIED,sympy,True,max|err| at random points = 1.7e-164,
MS.SIGSTAR,model_spec,On the path eps_N = eps_D = gamma and sigma* = 2/(2+alpha+beta),VERIFIED,sympy,True,max|err| at random points = 1.7e-164; max|err| at random points = 8.7e-165,
L1,model_spec Lemma 1,"n* = lnG + a(c-ln6) + a psi_D - b psi_N; d* = -lnG + b(c-ln6) + b psi_N - a psi_D; y* = omega + gamma(c-ln6+psi_N+psi_D) - lnK; d*-n* formula; omega absent from (n*,d*) at given c",VERIFIED,sympy,True,exact,"Equivalent form: n* = lnG + a(c-ln6) + chi/(alpha+beta), chi = beta psi_D - alpha psi_N (only the MRTS-shifting 'bias index' moves the mix)."
L1.sign,model_spec Lemma 1,"At fixed compute: dn*/dpsi_D = a > 0, dd*/dpsi_D = -a < 0, d ln M*/dpsi_D = -2a < 0",VERIFIED,sympy,True,exact,
L1.target,new (precision of Lemma 1),"At a fixed LOSS TARGET: dn*/dpsi_D = 0, dd*/dpsi_D = -1 (effective data held fixed); omega shifts the mix, d(d*-n*)/d omega = (a-b)/gamma, unless alpha = beta",IMPRECISE,sympy,True,exact,"Lemma 1's signs are conditional on compute c. Hicks-neutral omega leaves the expansion path (mix as a function of c) unchanged, but not the mix at a given loss target when alpha != beta (non-homotheticity)."
L1.T.sym,new (Lemma A3(vi)),"Lifetime objective, given compute: d ln M/d chi = -2/(alpha+beta+theta_T) < 0, theta_T = (T/3D)/(1+T/3D) (implicit differentiation of the FOC w = 1 + T/(3D))",NEW,sympy,True,exact,
L2,model_spec Lemma 2 / SYNTHESIS P2,"Hessian of ln R in (n,d) = (uv/R^2)[[a^2,-ab],[-ab,b^2]]: rank one, null vector (beta,alpha) = path direction; ln R linear along every (beta,alpha)-line",VERIFIED,sympy,True,exact,
L2.dec,new,"Exact decomposition ln R = -(alpha n + beta d)/2 + g(tau), tau = alpha n - beta d, g'' = s_u(1-s_u); transverse deviation tau - tau* = -ln w (a run's transverse coordinate is minus its log wedge)",NEW,sympy,True,exact,
P4.foc,model_spec Prop 4 / SYNTHESIS P6,min 6ND + 2NT s.t. L <= l: eps_N/eps_D = (cost elasticity ratio) = 1 + T/(3D) = lifetime/training compute,VERIFIED,sympy,True,exact,
P4.inv,model_spec Prop 4 / SYNTHESIS P6,"w = eps_N/eps_D is invariant to Hicks-neutral omega, to epsilon and to E",VERIFIED,sympy,True,exact,
P4.contam,model_spec Prop 4,Econometrician's w_hat (common technology) = w * exp(alpha psi_N - beta psi_D) = w e^{-chi},VERIFIED,sympy,True,exact,
HOM,model_spec / SYNTHESIS P6,"alpha=beta=rho: w = (M/M*)^rho, M* = (B/A)^{1/rho}; T/D = 3[(M/M*)^rho - 1]; C/C_min = cosh(rho/2 ln(M/M*))^{2/rho}",VERIFIED,sympy,True,max|err| at random points = 1.1e-165,
W1,new (generalizes HOM),"Any Chinchilla (alpha != beta), and the whole kappa-free family: w = (M/M*(C))^{(alpha+beta)/2} = (M/M*(C))^{1/sigma* - 1}, M*(C) = compute-optimal D/N at the run's OWN compute; T/D = 3[(M/M*(C))^{1/sigma*-1} - 1]",NEW,sympy,True,exact,
W2,new,"Farrell allocative loss depends on the wedge only: C/C_min = ((alpha+beta w)/(alpha+beta))^{1/gamma} w^{-1/alpha} (reduces to cosh(...)^{2/rho} when alpha = beta; free of A, B, E, omega)",NEW,sympy+num,True,exact,
W3,new,Harberger triangle: ln(C/C_min) = (ln w)^2 / (2(alpha+beta)) + O((ln w)^3) = sigma*(ln w)^2/(4(1-sigma*)) + O(.),NEW,sympy,True,series exact to 2nd order,
D.constr,task 2(d) / model_spec Prop 4,"Binding data constraint D <= Dbar (multiplier mu >= 0): w = 1/(theta_D + mu) < 1 + T/(3D); with T=0, w = 1/(1+mu) < 1. Binding memory constraint N <= Nbar (nu): w = (1+nu)(1+T/(3D))",VERIFIED,sympy,True,exact,mu = -d ln C*/d ln Dbar. Data scarcity makes T_hat = 3D(w-1) UNDERstate T; memory/latency constraints make it OVERstate T.
P5.rates,model_spec Prop 5 / SYNTHESIS P3,K_t falls at gamma(g_N+g_D); ln(D*/N*) drifts at 2(alpha g_N - beta g_D)/(alpha+beta) = 2(b g_N - a g_D); Hicks bias d ln MRTS/dt = beta g_D - alpha g_N (= (1-1/sigma)(g_N-g_D) only if alpha=beta); neutral <=> alpha g_N = beta g_D,VERIFIED,sympy,True,exact,The formula (1-1/sigma)(g_N-g_D) is the CES special case; in general the bias is beta g_D - alpha g_N.
P5.ident,model_spec Prop 5 / SYNTHESIS P3,"kappa-free family: on-path drifts gamma(g_N+g_D) and a g_D - b g_N do not depend on S (sigma*) => g_N, g_D identified individually (a is identified); Hicks bias = S (a g_D - b g_N): magnitude not identified, SIGN identified because optimality forces S > 0",IMPRECISE,sympy,True,exact,"Correction: model_spec says only g_N+g_D and b g_N - a g_D are identified (true, but these pin g_N and g_D separately), and that the Hicks bias is not identified; its magnitude is not, but its sign is (sign = -sign of the drift of ln D*/N*), because interior compute optima require sigma < 1 (SOC)."
P4S.CEG,SYNTHESIS P4,"Frontier CEG f(C) = C_old/C_new at equal loss is constant in C iff E_old = E_new AND gamma_old = gamma_new (NOT iff alpha, beta, E equal); then f = (K_old/K_new)^{1/gamma}; factor augmentation gives f = e^{psi_N+psi_D}",FALSE,sympy,True,"counterexample (0.3,0.4) vs (0.4,0.3): same gamma = 12/70","Original 'iff (alpha,beta,E) equal' is false for frontier comparisons: only the harmonic exponent gamma and E matter. Equal (alpha,beta) is needed only if CEG is computed at a fixed common allocation rule (e.g., 20 tokens/param)."
P7,SYNTHESIS P7,"Sahal: naive frontier-release regression slope = m/g = gamma/(1 - s_A), s_A = g_A/(g+g_A)",VERIFIED,sympy,True,exact,"Holds with deterministic trends; with compute noise around trend the slope is gamma[1 + (g_A/g) R^2_{c,t}] (verified by MC)."
P8,SYNTHESIS P8,Hall-type bias: residual with equal (cost-share) weights (eps_N+eps_D)/2 each = true + (eps_N-eps_D)(dn-dd)/2 (first order),VERIFIED,sympy,True,exact to first order,Requires equal weights that sum to the true scale elasticity; with weights gamma each the bias adds (eps_N-gamma)dn + (eps_D-gamma)dd.
P2.plim,model_spec Prop 2 / SYNTHESIS P5,"OLS of y on c: plim = gamma + pi1 V_w/(pi1^2 V_w + V_eta) (any sign of pi1); target rule pi1 = -1/gamma gives gamma V_eta/(V_w/gamma^2 + V_eta) in [0, gamma); exogenous gives gamma; funding (pi1>0) overstates",VERIFIED,sympy,True,exact,model_spec states only the pi1 > 0 case; the sign of the bias equals sign(pi1).
P2.bounds,SYNTHESIS P5,"Forward b_f and reverse 1/delta bracket gamma iff -(1 + V_eps/V_w)/gamma <= pi1 <= 0 (given Cov(c,y) > 0); they do NOT bound gamma under the funding regime (pi1 > 0)",IMPRECISE,sympy,True,"exact: (1/delta - gamma) Cov(c,y) = (1+gamma pi1) V_w + V_eps",SYNTHESIS P5 says forward/reverse regressions bound gamma 'under classical noise'; that holds only for target/exogenous-type rules.
INFO.dec,new (task 2a),"kappa-free family: y = y*(c; a,gamma,G,K) - gamma Phi_S(Delta) + omega - eps EXACTLY, where Phi = ln(C/C_min) (Farrell allocative loss), Delta = b n - a d - ln G = -ln w / S; sigma* enters only through Phi; dPhi/dS = Delta^2/2 + O(Delta^3) = Phi/S + O(Delta^3)",NEW,sympy,True,max|err| at random points = 6.9e-164,
PROXY,new (task 2c),"Given c: ln(D/N) = m0(c) - (2/(alpha+beta)) chi, chi = beta psi_D - alpha psi_N; strictly monotone in chi (LP invertibility), independent of Hicks-neutral omega and of any psi with chi = 0",NEW,sympy,True,exact,With heterogeneous inference demand ln M - m0(c) = (2/(alpha+beta))(ln w - chi): the mix confounds inference demand and factor bias.
