family,developer,members,n_members,D_T,D_ratio,reading,D_margin,N_margin,what_is_revealed,W_family_ref,s_family_ref,quote_1,quote_2,source_1,source_2,url_1,url_2,retrieved_1,retrieved_2,quotes_verified,note,quote_3,source_3,url_3,retrieved_3
Apertus,Swiss AI,Apertus-8B-2509; Apertus-70B-2509,2,"15.00, 15.00",1.0,choice,chosen (15T in five stages),unstated,family share revealed (members not),2.849525401212539,0.6490643671488323,The Apertus models are 8B-scale and 70B-scale models (Section 2) pretrained on 15T tokens (Section 3) using up to 4096 GPUs (Section 6).,We train the model on 15T tokens (∼0.3T masked due to Goldfish Loss) divided into five stages,apertus_report,apertus_report,https://arxiv.org/pdf/2509.14233,https://arxiv.org/pdf/2509.14233,2026-09-24T18:18:13,2026-09-24T18:18:13,True,No statement that the compliant corpus was exhausted.,,,,
DeepSeek-LLM,DeepSeek,deepseek-llm-7b-base; deepseek-llm-67b-base,2,"2.00, 2.00",1.0,cap+menu,cap (the dataset at the time),menu (two prevalent open-source configurations),none (uninformative),1.2194073906863316,0.17992952344075946,we have developed a dataset that currently consists of 2 trillion tokens and is continuously expanding.,"in two prevalent used open-source configurations, 7B and 67B.",deepseek_llm_report,deepseek_llm_report,https://arxiv.org/pdf/2401.02954,https://arxiv.org/pdf/2401.02954,2026-09-24T18:18:00,2026-09-24T18:18:00,True,Both margins constrained: sizes are standard configurations and D is the whole dataset. Neither bound holds.,,,,
Granite-3.0,IBM,granite-3.0-2b-base; granite-3.0-8b-base,2,"12.00, 12.00",1.0,choice,chosen (dense 12T; MoE siblings 10T of the same data),unstated,family share revealed (members not),6.684818764034058,0.8504073131525657,"Dense Models: 2B and 8B parameter models, trained on 12 trillion tokens in total.","Mixture-of-Expert (MoE) Models: Sparse 1B and 3B MoE models, with 400M and 800M activated parameters respectively, trained on 10 trillion tokens in total.",granite30_report,granite30_report,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,2026-09-24T18:18:08,2026-09-24T18:18:08,True,No statement that the corpus was exhausted; token budgets differ by model class within the release.,,,,
Llama-2,Meta,Llama-2-7b-hf; Llama-2-13b-hf; Llama-2-70b-hf,3,"2.00, 2.00, 2.00",1.0,choice,chosen (performance-cost trade-off),unstated,family share revealed (members not),1.2918697978794211,0.22592818437161366,"We trained on 2 trillion tokens of data as this provides a good performance–cost trade-off, up-sampling the most factual sources in an effort to increase knowledge and dampen hallucinations.","We observe that after pretraining on 2T Tokens, the models still did not show any sign of saturation.",llama2_report,llama2_report,https://arxiv.org/pdf/2307.09288,https://arxiv.org/pdf/2307.09288,2026-09-24T18:17:47,2026-09-24T18:17:47,True,D chosen for the family; only the family share is revealed (Prop. A9).,,,,
Llama-3 herd,Meta,Meta-Llama-3-8B; Meta-Llama-3-70B; Llama-3.1-405B,3,"15.00, 15.00, 15.60",1.04,cap,cap (whole curated corpus),free (flagship sized by Meta's law for its compute),lower bound (members),1.4159250031248287,0.2937479048727276,"We pre-train Llama 3 on a corpus of about 15T multilingual tokens, compared to 1.8T tokens for Llama 2.","While our scaling laws suggest our flagship model is an approximately compute-optimal size for our training budget, we also train our smaller models for much longer than is compute-optimal.",llama3_report,llama3_report,https://arxiv.org/pdf/2407.21783,https://arxiv.org/pdf/2407.21783,2026-09-24T18:17:50,2026-09-24T18:17:50,True,Every size trained on the whole ~15T corpus while still improving: the corpus binds for the 8B and 70B. The 405B was sized by Meta's law for its compute (D = 15.6T). Member wedges are lower bounds on m_N.,Both our 8B and 70B parameter models continued to improve log-linearly after we trained them on up to 15T tokens.,llama3_blog,https://ai.meta.com/blog/meta-llama-3/,2026-09-24T18:17:52
MPT,MosaicML,mpt-7b; mpt-30b,2,"1.00, 1.05",1.05,menu,"chosen (1T sampled from a larger mix, to match LLaMA)",menu (single-GPU deployment),upper bound,1.3324925818915907,0.24952677891803957,The size of MPT-30B was also specifically chosen to make it easy to deploy on a single GPU—either 1x NVIDIA A100-80GB in 16-bit precision or 1x NVIDIA A100-40GB in 8-bit precision.,"Trained on a large amount of data (1T tokens like LLaMA vs. 300B for Pythia, 300B for OpenLLaMA, and 800B for StableLM).",mpt30b_blog,mpt7b_blog,https://www.databricks.com/blog/mpt-30b,https://www.databricks.com/blog/mpt-7b,2026-09-24T18:18:05,2026-09-24T18:18:03,True,Sizes from a serving-hardware menu; the family share is an upper bound (Prop. A9(iv)).,the model was pre-trained on 1T tokens sampled according to this mix.,mpt7b_blog,https://www.databricks.com/blog/mpt-7b,2026-09-24T18:18:03
Olmo-3,AI2,Olmo-3-1025-7B; Olmo-3-1125-32B,2,"6.03, 5.60",1.0767857142857142,choice,chosen (6T mix drawn from a 9T pool; 32B schedule truncated at 5.5T),unstated,family share revealed (members not),2.6960441531478128,0.6290861932537593,"Composition of Dolma 3 Mix including our 9T pool of data, the 6T mix we used for final model training, and the 150B mix we used for experimentation.","The learning rate schedule is a cosine schedule over one epoch (5.93T tokens), truncated at 5.5T tokens.",olmo3_report,olmo3_report,https://arxiv.org/pdf/2512.13961,https://arxiv.org/pdf/2512.13961,2026-09-24T18:18:16,2026-09-24T18:18:16,True,"Budget chosen below the pool; the 32B run was cut at 5.5T of a 5.93T schedule (a deadline, not a data cap).",,,,
Qwen2.5,Alibaba,Qwen2.5-0.5B; Qwen2.5-1.5B; Qwen2.5-3B; Qwen2.5-7B; Qwen2.5-14B; Qwen2.5-32B; Qwen2.5-72B,7,"18.00, 18.00, 18.00, 18.00, 18.00, 18.00, 18.00",1.0,cap,cap (corpus size stated for every member; tokens processed per member not stated),unstated,lower bound (members),3.5278519291198953,0.7165413911661895,"all models are pretrained on our latest large-scale dataset, encompassing up to 18 trillion tokens.","we have developed a larger and higher-quality pre-training dataset, expanding from the 7 trillion tokens used in Qwen2 (Yang et al., 2024a) to 18 trillion tokens.",qwen25_blog,qwen25_report,https://qwenlm.github.io/blog/qwen2.5/,https://arxiv.org/pdf/2412.15115,2026-09-24T18:17:55,2026-09-24T18:17:54,True,"Weak cap reading: the corpus (up to 18T) is stated for every size, but the tokens each member processed are not reported (R1 minor 16; R2 minor 16). Flagged D_unaudited.",,,,
Qwen3,Alibaba,Qwen3-0.6B-Base; Qwen3-1.7B-Base; Qwen3-4B-Base; Qwen3-8B-Base; Qwen3-14B-Base,5,"36.00, 36.00, 36.00, 36.00, 36.00",1.0,cap,cap (whole corpus; expanded with PDF extraction and synthetic data),unstated,lower bound (members),9.12634690657012,0.89042713253864,"All Qwen3 models are trained on a large and diverse dataset consisting of 119 languages and dialects, with a total of 36 trillion tokens.","all Qwen3 models are trained on over 30 trillion tokens using a sequence length of 4,096 tokens.",qwen3_report,qwen3_report,https://arxiv.org/pdf/2505.09388,https://arxiv.org/pdf/2505.09388,2026-09-24T18:17:57,2026-09-24T18:17:57,True,"Every size trained on the whole corpus; the corpus had to be expanded (PDF extraction, synthetic data): evidence that data bind. Member wedges are lower bounds on m_N.","To efficiently expand the training data, we employ a multi-modal approach: Qwen2.5-VL (Bai et al., 2025) is finetuned to extract text from extensive PDF documents.",qwen3_report,https://arxiv.org/pdf/2505.09388,2026-09-24T18:17:57
StableLM-alpha,Stability AI,stablelm-base-alpha-3b; stablelm-base-alpha-7b,2,"0.80, 0.80",1.0,choice,chosen (800B of a 1.5T dataset),unstated,family share revealed (members not),2.1065461753521495,0.5252893045020336,"StableLM-Alpha models are trained on a new dataset that builds on [The Pile](https://pile.eleuther.ai/), which contains 1.5 trillion tokens, roughly 3x the size of The Pile.","| 7B | [checkpoint](https://huggingface.co/stabilityai/stablelm-base-alpha-7b) | [checkpoint](https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b) | 800B | 7,869,358,080 |",stablelm_github,stablelm_github,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,2026-09-24T18:18:06,2026-09-24T18:18:06,True,"Token count corrected to 800B (ra2 used the 1.5T dataset size); 800B < 1.5T, so no cap.",,,,
