unit,unit_kind,family,developer,members,D_margin,D_rule,N_margin,N_rule,reading,own_cap,own_cap_rule,R_CO,R_INF,R_DEV,R_NONE,deployment_rationale,synthetic,n_quotes,protocol_version,coder,note,coder_A_D_margin,coder_B_D_margin,coder_A_D_rule,coder_B_D_rule,coder_A_N_margin,coder_B_N_margin,coder_A_N_rule,coder_B_N_rule,coder_A_reading,coder_B_reading,coder_A_own_cap,coder_B_own_cap,coder_A_R_CO,coder_B_R_CO,coder_A_R_INF,coder_B_R_INF,coder_A_R_DEV,coder_B_R_DEV,coder_A_R_NONE,coder_B_R_NONE,coder_A_synthetic,coder_B_synthetic,resolution,resolution_rule,resolved_fields,quote_role_1,source_1,quote_1,url_1,retrieved_1,quote_role_2,source_2,quote_2,url_2,retrieved_2,quote_role_3,source_3,quote_3,url_3,retrieved_3,quote_role_4,source_4,quote_4,url_4,retrieved_4,quote_role_5,source_5,quote_5,url_5,retrieved_5,quote_role_6,source_6,quote_6,url_6,retrieved_6,quote_role_7,source_7,quote_7,url_7,retrieved_7
Apertus,common-budget,Apertus,Swiss AI,Apertus-8B-2509; Apertus-70B-2509,choice,K2,free,,choice,0,,0,0,0,1,0,1,3,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),K2: the multilingual web data are a random subsample of a larger usable pool. Synthetic by label (EuroBlocks-SFT-Synthetic in the pretraining task data); the saved report does not describe how it was generated.,choice,choice,K2,K2,free,free,,not stated,choice,choice,0,0,0,0,0,0,0,0,1,1,1,1,agreed (coded identically by A and B),,,D,apertus_report,We train the model on 15T tokens (∼0.3T masked due to Goldfish Loss) divided into five stages,https://arxiv.org/pdf/2509.14233,2026-09-24T18:18:13,D,apertus_report,"For all other languages, we subsample documents at random.",https://arxiv.org/pdf/2509.14233,2026-09-24T18:18:13,SYN,apertus_report,"For task data we rely on EuroBlocks-SFT-Synthetic-112427 (Martins et al., 2025) for multilingual instruction and task data",https://arxiv.org/pdf/2509.14233,2026-09-24T18:18:13,,,,,,,,,,,,,,,,,,,,
DeepSeek-LLM,common-budget,DeepSeek-LLM,DeepSeek,deepseek-llm-7b-base; deepseek-llm-67b-base,cap,C1,menu,standard configurations,cap+menu,0,,0,0,0,1,0,0,3,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),C1: the budget is the whole dataset available at the time; sizes are standard configurations.,cap,cap,C1,C1,menu,menu,standard configurations,"prevalent configurations (7B, 67B)",cap+menu,cap+menu,0,1,1,0,0,0,0,0,0,1,0,0,"own_cap: Both coders code the reading cap+menu from C1 ('a dataset that currently consists of 2 trillion tokens'). Section 6 codes the case in which every member of a common budget is capped in the reading, not in the member field; Amendment 1 extends the member field to C1/C3 statements that concern a member, which here is the same all-member statement. Convention of coder A; the class (lower bound) is the same under both conventions. | R_CO: Coder A's quote ('Under the guidance of our scaling laws, we build from scratch open-source large language models') does not say that the sizes or the 2T budget were set by a compute-optimal or scaling-law allocation. The report attributes the sizes to 'two prevalent used open-source configurations, 7B and 67B', chosen while 'maintaining parameter consistency with other open-source models', and the budget to the dataset collected; the uses of its scaling laws that it names are hyperparameters and forecasts of the 7B's and 67B's performance (Sections 3.1-3.2). Consistent with both coders' treatment of LLaMA's 'inspired by the Chinchilla scaling laws' (not coded). Coder B.","own_cap: protocol Section 6, last bullet (own cap of every member of a common budget is coded in the reading) | R_CO: protocol Section 7 (a flag needs a statement that gives the reason for the size or the token budget)",own_cap; R_CO; R_NONE,D,deepseek_llm_report,we have developed a dataset that currently consists of 2 trillion tokens and is continuously expanding.,https://arxiv.org/pdf/2401.02954,2026-09-24T18:18:00,N,deepseek_llm_report,"in two prevalent used open-source configurations, 7B and 67B.",https://arxiv.org/pdf/2401.02954,2026-09-24T18:18:00,NONEV,deepseek_llm_report,"Under the guidance of our scaling laws, we build from scratch open-source large language models",https://arxiv.org/pdf/2401.02954,2026-09-24T18:18:00,,,,,,,,,,,,,,,,,,,,
Granite-3.0,common-budget,Granite-3.0,IBM,granite-3.0-2b-base; granite-3.0-8b-base,cap or choice,size only,free,,cap or choice,0,,0,1,1,0,1,1,6,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),"Only the dense budget is stated; the MoE siblings trained on fewer tokens (10T), which does not show that the dense budget was below the pool (K3 needs more tokens of the same data). Synthetic corpora in the stage-2 mix.",cap or choice,choice,size only,K2,free,free,,not stated,cap or choice,choice,0,0,0,0,1,1,1,1,0,0,1,1,"D_margin: K2 needs the budget to be stated as part of a larger pool of the developer's own usable data. The report gives the dense budget (12T; 10T in stage 1) and, in its data appendix, the size of one stage-1 source before IBM's processing (FineWeb, 'more than 15T tokens'); its Section 3.1 applies IBM's own exact and fuzzy deduplication, HAP filtering and Gopher and KenLM quality filtering to the curated web data that include FineWeb and DCLM, so the usable pool after processing is not stated, and the stage-1 web share (69.5 percent) is read off a figure. Coder B's K2 is an inference from source sizes, as coder B's own note says; no C evidence either. The residual code of 5.1 for a stated budget without C or K evidence is 'cap or choice' (coder A).",D_margin: protocol 5.1: no C and no K evidence; K2 not established,D_margin; D_rule; reading,D,granite30_report,"Dense Models: 2B and 8B parameter models, trained on 12 trillion tokens in total.",https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,2026-09-24T18:18:08,DEV,granite30_report,"For accessibility, being able to fine-tune a pretrained LLM for on-premise use requires models with lower hardware requirements.",https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,2026-09-24T18:18:08,DEV,granite30_report,including the potential to be run on constrained compute resources.,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,2026-09-24T18:18:08,INF,granite30_announcement,"deliver state-of-the-art performance relative to model size while maximizing safety, speed and cost-efficiency for enterprise use cases.",https://www.ibm.com/new/announcements/ibm-granite-3-0-open-state-of-the-art-enterprise-models,2026-09-24T18:25:44,SYN,granite30_report,mixed with a small amount of high-quality open-source and synthetic corpora with permissive licenses.,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,2026-09-24T18:18:08,NONEV,granite30_report,"Mixture-of-Expert (MoE) Models: Sparse 1B and 3B MoE models, with 400M and 800M activated parameters respectively, trained on 10 trillion tokens in total.",https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf,2026-09-24T18:18:08,,,,,
Llama#1,common-budget,Llama,Meta,llama-7b; llama-13b,choice,K3; K2,free,,choice,0,,0,1,1,0,1,0,4,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),The 7B and 13B used 1.0T of a 1.4T dataset on which the 33B and 65B trained longer. The single-GPU statement concerns LLaMA-13B (Amendment 3).,choice,choice,K3; K2,K3,free,free,,not stated,choice,choice,0,0,0,0,1,1,1,1,0,0,0,0,agreed (coded identically by A and B),,,D,llama1_report,LLaMA-33B and LLaMA-65B were trained on 1.4T tokens. The smaller models were trained on 1.0T tokens.,https://arxiv.org/pdf/2302.13971,2026-09-24T18:18:18,D,llama1_report,"Overall, our entire training dataset contains roughly 1.4T tokens after tokenization.",https://arxiv.org/pdf/2302.13971,2026-09-24T18:18:18,INF,llama1_report,"However, this objective disregards the inference budget, which becomes critical when serving a language model at scale.",https://arxiv.org/pdf/2302.13971,2026-09-24T18:18:18,DEV,llama1_report,"We believe that this model will help democratize the access and study of LLMs, since it can be run on a single GPU.",https://arxiv.org/pdf/2302.13971,2026-09-24T18:18:18,,,,,,,,,,,,,,,
Llama#2,common-budget,Llama,Meta,llama-30b; llama-65b,cap or choice,size only,free,,cap or choice,0,,0,1,0,0,1,0,4,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),Budget equals the stated dataset; no statement that more data were unavailable or that the budget was chosen below it. Two epochs of Wikipedia and books is upsampling of selected sources (not repetition).,cap or choice,cap or choice,size only,size only,free,free,,not stated,cap or choice,cap or choice,0,0,0,0,1,1,0,0,0,0,0,0,agreed (coded identically by A and B),,,D,llama1_report,"Overall, our entire training dataset contains roughly 1.4T tokens after tokenization.",https://arxiv.org/pdf/2302.13971,2026-09-24T18:18:18,D,llama1_report,LLaMA-33B and LLaMA-65B were trained on 1.4T tokens.,https://arxiv.org/pdf/2302.13971,2026-09-24T18:18:18,INF,llama1_report,"However, this objective disregards the inference budget, which becomes critical when serving a language model at scale.",https://arxiv.org/pdf/2302.13971,2026-09-24T18:18:18,NONEV,llama1_report,"with the exception of the Wikipedia and Books domains, over which we perform ap- proximately two epochs.",https://arxiv.org/pdf/2302.13971,2026-09-24T18:18:18,,,,,,,,,,,,,,,
Llama-2,common-budget,Llama-2,Meta,Llama-2-7b-hf; Llama-2-13b-hf; Llama-2-70b-hf,choice,K1,free,,choice,0,,0,0,0,1,0,0,2,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),K1: a stated performance-cost trade-off.,choice,choice,K1,K1,free,free,,not stated,choice,choice,0,0,0,0,0,0,0,0,1,1,0,0,agreed (coded identically by A and B),,,D,llama2_report,We trained on 2 trillion tokens of data as this provides a good performance–cost trade-off,https://arxiv.org/pdf/2307.09288,2026-09-24T18:17:47,NONEV,llama2_report,"We observe that after pretraining on 2T Tokens, the models still did not show any sign of saturation.",https://arxiv.org/pdf/2307.09288,2026-09-24T18:17:47,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3 herd,common-budget,Llama-3 herd,Meta,Meta-Llama-3-8B; Meta-Llama-3-70B; Llama-3.1-405B,cap or choice,size only,free,,cap or choice,0,,1,1,0,0,1,0,6,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),"Report and release post give the corpus size only; 'still improving' is a positive marginal product of data, true under every reading (protocol 5.1). The 405B at 15.6T exceeds 'about 15T' by 4 percent (not C2).",cap or choice,choice,size only,K1,free,free,,not stated,cap or choice,choice,0,0,1,1,1,1,0,0,0,0,0,0,"D_margin: Coder B's K1 rests on the flagship's allocation: the scaling law 'suggests training a 402B parameter model on 16.55T tokens' and Meta 'decided to train a flagship model with 405B parameters'. These sentences set the flagship's size for a FLOP budget; the protocol lists 'approximately compute-optimal size for our training budget' (this report's wording) as its example of the R-CO rationale (Section 7), which both coders coded. They do not state that the token budget was set below the data available: the law's 16.55T exceeds the 'corpus of about 15T multilingual tokens', and the flagship trained on 15.6T, about the corpus size, so the sentences fit a corpus-bound budget as well as a chosen one. 'Continued to improve' and training 'much longer than is compute-optimal' are not token-margin evidence (5.1). The sources give the corpus size and that every member trained on it: 'cap or choice' (size only), as coder A coded and as fix list W1(c) specifies for the herd unless the sources state that the corpus bound (they do not).",D_margin: protocol 5.1 (size only) and Section 7 (R-CO); fix list W1(c),D_margin; D_rule; reading,D,llama3_report,"We pre-train Llama 3 on a corpus of about 15T multilingual tokens, compared to 1.8T tokens for Llama 2.",https://arxiv.org/pdf/2407.21783,2026-09-24T18:17:50,D,llama3_blog,Llama 3 is pretrained on over 15T tokens that were all collected from publicly available sources.,https://ai.meta.com/blog/meta-llama-3/,2026-09-24T18:17:52,CO,llama3_report,"While our scaling laws suggest our flagship model is an approximately compute-optimal size for our training budget, we also train our smaller models for much longer than is compute-optimal.",https://arxiv.org/pdf/2407.21783,2026-09-24T18:17:50,INF,llama3_report,The resulting models perform better than compute-optimal models at the same inference budget.,https://arxiv.org/pdf/2407.21783,2026-09-24T18:17:50,INF,llama3_blog,smaller models are generally preferred because they are much more efficient during inference.,https://ai.meta.com/blog/meta-llama-3/,2026-09-24T18:17:52,NONEV,llama3_blog,Both our 8B and 70B parameter models continued to improve log-linearly after we trained them on up to 15T tokens.,https://ai.meta.com/blog/meta-llama-3/,2026-09-24T18:17:52,,,,,
MPT,common-budget,MPT,MosaicML,mpt-7b; mpt-30b,choice,K2,menu,single-GPU deployment,menu,0,,0,1,1,0,1,0,5,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),"K2 rests on sampling from the ten source subsets with changed proportions at the same budget; the saved texts do not give the subsets' sizes, so this is the weakest choice code. MPT-30B's budget is 1.05T (1T at 2k context plus 50B at 8k).",choice,choice,K2,K2,menu,menu,single-GPU deployment,named GPU (single A100-80GB / A100-40GB),menu,menu,0,0,0,0,1,1,1,1,0,0,0,0,agreed (coded identically by A and B),,,D,mpt7b_blog,the model was pre-trained on 1T tokens sampled according to this mix.,https://www.databricks.com/blog/mpt-7b,2026-09-24T18:18:03,D,mpt30b_blog,"we used 1T tokens from the same 10 data subsets as the MPT-7B model ( Table 1 ), but in slightly different proportions.",https://www.databricks.com/blog/mpt-30b,2026-09-24T18:18:05,D,mpt30b_blog,"we first pre-trained on 1T tokens using sequences that were 2k tokens long, and continued training for an additional 50B tokens using sequences that were 8k tokens long.",https://www.databricks.com/blog/mpt-30b,2026-09-24T18:18:05,N,mpt30b_blog,The size of MPT-30B was also specifically chosen to make it easy to deploy on a single GPU,https://www.databricks.com/blog/mpt-30b,2026-09-24T18:18:05,INF,mpt30b_blog,"this necessitates 2+ GPUs, which increases the minimum inference system cost.",https://www.databricks.com/blog/mpt-30b,2026-09-24T18:18:05,,,,,,,,,,
OLMo-2#1,common-budget,OLMo-2,AI2,OLMo-2-0425-1B; OLMo-2-1124-7B,choice,K1; K3,free,,choice,0,,0,0,0,1,0,1,3,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),"Schedule planned for 5T and truncated at 4T (K1); the 13B and 32B trained on more tokens of the same mix (K3). The 7B made about one pass ('approximately one epoch'), which is not repetition.",choice,choice,K1; K3,K1; K3,free,free,,not stated,choice,choice,0,0,0,0,0,0,0,0,1,1,1,1,agreed (coded identically by A and B),,,D,olmo2_report,"Similar to OLMo 2 7B, we use 2000 steps of warmup, set the schedule to 5 trillion tokens but truncate at the 4 trillion mark.",https://arxiv.org/pdf/2501.00656,2026-09-24T18:18:24,D,olmo2_32b_blog,"OLMo 2 32B is trained for 1.5 epochs , up to 6T tokens.",https://allenai.org/blog/olmo2-32B,2026-09-24T18:25:51,SYN,olmo2_report,"Having generated the problems, we then generate multi-step math solutions using GPT-4o.",https://arxiv.org/pdf/2501.00656,2026-09-24T18:18:24,,,,,,,,,,,,,,,,,,,,
Olmo-3,common-budget,Olmo-3,AI2,Olmo-3-1025-7B; Olmo-3-1125-32B,choice,K2; K1,free,,choice,0,,0,0,1,0,1,1,5,rb5_reading_protocol v1 (2026-09-25) with Amendments 1-3; disagreements resolved under Section 11,resolved (coders A and B; reviewer WP4b-review),6T mix drawn from a 9T pool (K2); the 32B schedule truncated (K1).,choice,choice,K2; K1,K2; K1,free,free,,not stated,choice,choice,0,0,0,0,0,0,1,1,0,0,1,1,agreed (coded identically by A and B),,,D,olmo3_report,"Composition of Dolma 3 Mix including our 9T pool of data, the 6T mix we used for final model training, and the 150B mix we used for experimentation.",https://arxiv.org/pdf/2512.13961,2026-09-24T18:18:16,D,olmo3_report,"The learning rate schedule is a cosine schedule over one epoch (5.93T tokens), truncated at 5.5T tokens.",https://arxiv.org/pdf/2512.13961,2026-09-24T18:18:16,DEV,olmo3_blog,"Olmo 3 is a family of compact, dense models at 7 billion and 32 billion parameters that can run on everything from laptops to research clusters.",https://allenai.org/blog/olmo3,2026-09-24T18:25:52,DEV,olmo3_blog,"32B models are big enough to support strong, competitive performance, but still small enough that a wide audience can fine-tune and deploy them on accessible hardware.",https://allenai.org/blog/olmo3,2026-09-24T18:25:52,SYN,olmo3_report,We collect Wikipedia passages and prompted Qwen2.5 32B Instruct to generate QA pairs,https://arxiv.org/pdf/2512.13961,2026-09-24T18:18:16,,,,,,,,,,
