unit,unit_kind,family,developer,n_members,members,uids,N_B,D_T,release_dates,year,other_family_members,source_keys,source_urls
Apertus,common-budget,Apertus,Swiss AI,2,Apertus-8B-2509; Apertus-70B-2509,B:swiss-ai/Apertus-8B-2509; B:swiss-ai/Apertus-70B-2509,8.05; 70.6,15; 15,2025-09-02; 2025-09-02,2025,,apertus_report; apertus_card,https://arxiv.org/pdf/2509.14233; https://huggingface.co/swiss-ai/Apertus-70B-2509/raw/main/README.md
DeepSeek-LLM,common-budget,DeepSeek-LLM,DeepSeek,2,deepseek-llm-7b-base; deepseek-llm-67b-base,B:deepseek-ai/deepseek-llm-7b-base; B:deepseek-ai/deepseek-llm-67b-base,7; 67,2; 2,2024-01-05; 2024-01-05,2024,,deepseek_llm_report; deepseek_llm_readme,https://arxiv.org/pdf/2401.02954; https://raw.githubusercontent.com/deepseek-ai/DeepSeek-LLM/main/README.md
Granite-3.0,common-budget,Granite-3.0,IBM,2,granite-3.0-2b-base; granite-3.0-8b-base,B:ibm-granite/granite-3.0-2b-base; B:ibm-granite/granite-3.0-8b-base,2.53; 8.17,12; 12,2024-10-21; 2024-10-21,2024,,granite30_report; granite30_announcement,https://raw.githubusercontent.com/ibm-granite/granite-3.0-language-models/main/paper.pdf; https://www.ibm.com/new/announcements/ibm-granite-3-0-open-state-of-the-art-enterprise-models
Llama#1,common-budget,Llama,Meta,2,llama-7b; llama-13b,B:huggyllama/llama-7b; B:huggyllama/llama-13b,6.74; 13,1; 1,2023-02-24; 2023-02-27,2023,llama-30b (D = 1.4T); llama-65b (D = 1.4T),llama1_report; llama1_blog,https://arxiv.org/pdf/2302.13971; https://ai.meta.com/blog/large-language-model-llama-meta-ai/
Llama#2,common-budget,Llama,Meta,2,llama-30b; llama-65b,B:huggyllama/llama-30b; B:huggyllama/llama-65b,32.5; 65.3,1.4; 1.4,2023-02-27; 2023-02-24,2023,llama-7b (D = 1T); llama-13b (D = 1T),llama1_report; llama1_blog,https://arxiv.org/pdf/2302.13971; https://ai.meta.com/blog/large-language-model-llama-meta-ai/
Llama-2,common-budget,Llama-2,Meta,3,Llama-2-7b-hf; Llama-2-13b-hf; Llama-2-70b-hf,B:meta-llama/Llama-2-7b-hf; B:meta-llama/Llama-2-13b-hf; B:meta-llama/Llama-2-70b-hf,6.74; 13; 69,2; 2; 2,2023-07-18; 2023-07-18; 2023-07-18,2023,,llama2_report; llama2_blog,https://arxiv.org/pdf/2307.09288; https://ai.meta.com/llama/
Llama-3 herd,common-budget,Llama-3 herd,Meta,3,Meta-Llama-3-8B; Meta-Llama-3-70B; Llama-3.1-405B,B:meta-llama/Meta-Llama-3-8B; B:meta-llama/Meta-Llama-3-70B; B:meta-llama/Llama-3.1-405B,8.03; 70.6; 406,15; 15; 15.6,2024-04-18; 2024-04-18; 2024-07-23,2024,,llama3_report; llama3_blog; llama31_blog,https://arxiv.org/pdf/2407.21783; https://ai.meta.com/blog/meta-llama-3/; https://ai.meta.com/blog/meta-llama-3-1/
MPT,common-budget,MPT,MosaicML,2,mpt-7b; mpt-30b,B:mosaicml/mpt-7b; B:mosaicml/mpt-30b,7; 30,1; 1.05,2023-05-05; 2023-06-22,2023,,mpt7b_blog; mpt30b_blog,https://www.databricks.com/blog/mpt-7b; https://www.databricks.com/blog/mpt-30b
OLMo-2#1,common-budget,OLMo-2,AI2,2,OLMo-2-0425-1B; OLMo-2-1124-7B,B:allenai/OLMo-2-0425-1B; B:allenai/OLMo-2-1124-7B,1.48; 7.3,4.05; 4.05,2025-04-17; 2024-12-31,2024,OLMo-2-1124-13B (D = 5.15T); OLMo-2-0325-32B (D = 6.15T),olmo2_report; olmo2_blog; olmo2_32b_blog,https://arxiv.org/pdf/2501.00656; https://allenai.org/blog/olmo2; https://allenai.org/blog/olmo2-32B
Olmo-3,common-budget,Olmo-3,AI2,2,Olmo-3-1025-7B; Olmo-3-1125-32B,B:allenai/Olmo-3-1025-7B; B:allenai/Olmo-3-1125-32B,7.3; 32.2,6.03; 5.6,2025-09-12; 2025-11-20,2025,,olmo3_report; olmo3_blog,https://arxiv.org/pdf/2512.13961; https://allenai.org/blog/olmo3
Qwen#2,common-budget,Qwen,Alibaba,2,Qwen-14B; Qwen-72B,B:Qwen/Qwen-14B; B:Qwen/Qwen-72B,14.2; 72.3,3; 3,2023-09-28; 2023-11-30,2023,Qwen-7B (D = 2.4T),qwen_report; qwen_readme,https://arxiv.org/pdf/2309.16609; https://raw.githubusercontent.com/QwenLM/Qwen/main/README.md
Qwen2#1,common-budget,Qwen2,Alibaba,3,Qwen2-1.5B; Qwen2-7B; Qwen2-72B,B:Qwen/Qwen2-1.5B; B:Qwen/Qwen2-7B; B:Qwen/Qwen2-72B,1.54; 7.62; 72.7,7; 7; 7,2024-06-07; 2024-06-07; 2024-06-07,2024,Qwen2-0.5B (D = 12T),qwen2_report; qwen2_blog,https://arxiv.org/pdf/2407.10671; https://qwenlm.github.io/blog/qwen2/
Qwen2.5,common-budget,Qwen2.5,Alibaba,7,Qwen2.5-0.5B; Qwen2.5-1.5B; Qwen2.5-3B; Qwen2.5-7B; Qwen2.5-14B; Qwen2.5-32B; Qwen2.5-72B,B:Qwen/Qwen2.5-0.5B; B:Qwen/Qwen2.5-1.5B; B:Qwen/Qwen2.5-3B; B:Qwen/Qwen2.5-7B; B:Qwen/Qwen2.5-14B; B:Qwen/Qwen2.5-32B; B:Qwen/Qwen2.5-72B,0.494; 1.54; 3.09; 7.62; 14.8; 32.8; 72.7,18; 18; 18; 18; 18; 18; 18,2024-09-15; 2024-09-19; 2024-09-19; 2024-09-19; 2024-09-19; 2024-09-17; 2024-09-19,2024,,qwen25_report; qwen25_blog,https://arxiv.org/pdf/2412.15115; https://qwenlm.github.io/blog/qwen2.5/
Qwen3,common-budget,Qwen3,Alibaba,5,Qwen3-0.6B-Base; Qwen3-1.7B-Base; Qwen3-4B-Base; Qwen3-8B-Base; Qwen3-14B-Base,B:Qwen/Qwen3-0.6B-Base; B:Qwen/Qwen3-1.7B-Base; B:Qwen/Qwen3-4B-Base; B:Qwen/Qwen3-8B-Base; B:Qwen/Qwen3-14B-Base,0.596; 1.72; 4.02; 8.19; 14.8,36; 36; 36; 36; 36,2025-04-29; 2025-04-29; 2025-04-29; 2025-04-29; 2025-04-29,2025,,qwen3_report; qwen3_blog,https://arxiv.org/pdf/2505.09388; https://qwenlm.github.io/blog/qwen3/
SmolLM#1,common-budget,SmolLM,Hugging Face,2,SmolLM-135M; SmolLM-360M,B:HuggingFaceTB/SmolLM-135M; B:HuggingFaceTB/SmolLM-360M,0.135; 0.362,0.6; 0.6,2024-07-14; 2024-07-14,2024,SmolLM-1.7B (D = 1T),smollm_blog,https://huggingface.co/blog/smollm
StableLM-alpha,common-budget,StableLM-alpha,Stability AI,2,stablelm-base-alpha-3b; stablelm-base-alpha-7b,B:stabilityai/stablelm-base-alpha-3b; B:stabilityai/stablelm-base-alpha-7b,3.64; 7.87,0.8; 0.8,2023-04-17; 2023-04-11,2023,,stablelm_github,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md
Yi,common-budget,Yi,01.AI,2,Yi-6B; Yi-34B,B:01-ai/Yi-6B; B:01-ai/Yi-34B,6.06; 34.4,3; 3,2023-11-02; 2023-11-02,2023,,yi_report; yi_readme,https://arxiv.org/pdf/2403.04652; https://raw.githubusercontent.com/01-ai/Yi/main/README.md
