model,hf,dev,year,serve,serve_source,deploy,deploy_source,drop_step,drop_reason,drop_source
Llama-2-7b-hf,meta-llama/Llama-2-7b-hf,Meta,2023,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,,,
Llama-2-13b-hf,meta-llama/Llama-2-13b-hf,Meta,2023,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,,,
Llama-2-70b-hf,meta-llama/Llama-2-70b-hf,Meta,2023,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,,,
llama-7b,huggyllama/llama-7b,Meta,2023,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,,,
llama-13b,huggyllama/llama-13b,Meta,2023,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,,,
llama-30b,huggyllama/llama-30b,Meta,2023,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,,,
llama-65b,huggyllama/llama-65b,Meta,2023,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,,,
Meta-Llama-3-70B,meta-llama/Meta-Llama-3-70B,Meta,2024,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,,,
Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B,Meta,2024,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,,,
Llama-3.1-405B,meta-llama/Llama-3.1-405B,Meta,2024,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,,,
Llama-3.1-70B,meta-llama/Llama-3.1-70B,Meta,2024,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,a_dedupe,continued pretraining of the Llama 3 70B run; same N and D,grattafiori2024llama
Llama-3.1-8B,meta-llama/Llama-3.1-8B,Meta,2024,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,a_dedupe,continued pretraining (long context) of the Llama 3 8B run; same N and D,grattafiori2024llama; m3 Table 6 notes
Qwen1.5-72B,Qwen/Qwen1.5-72B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,a_dedupe,same N and D as Qwen-72B (ObsScaling); not a separate allocation decision,R2 Major 10
Qwen1.5-32B,Qwen/Qwen1.5-32B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10
Qwen1.5-14B,Qwen/Qwen1.5-14B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10
Qwen1.5-7B,Qwen/Qwen1.5-7B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10
Qwen1.5-4B,Qwen/Qwen1.5-4B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10
Qwen1.5-1.8B,Qwen/Qwen1.5-1.8B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10
Qwen1.5-0.5B,Qwen/Qwen1.5-0.5B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,h_D_undocumented,token count only in ObsScaling; Qwen1.5 card/blog state none,hf.co/Qwen/Qwen1.5-* cards (no token statement); R2 Major 10
Qwen-72B,Qwen/Qwen-72B,Alibaba,2023,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen-14B,Qwen/Qwen-14B,Alibaba,2023,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen-7B,Qwen/Qwen-7B,Alibaba,2023,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen2-72B,Qwen/Qwen2-72B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen2-7B,Qwen/Qwen2-7B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen2-1.5B,Qwen/Qwen2-1.5B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
Qwen2-0.5B,Qwen/Qwen2-0.5B,Alibaba,2024,1,"Alibaba Cloud Model Studio / DashScope API serves Qwen (Tongyi Qianwen API, 2023)",server/unspecified,card: no on-device or local statement found,,,
DeepSeek-V2,deepseek-ai/DeepSeek-V2,DeepSeek,2024,1,DeepSeek API platform (platform.deepseek.com); DeepSeek LLM released Jan 2024 with chat service,server/unspecified,card: no on-device or local statement found,c_moe,MoE: 21.0B active / 235.7B total,m3 (card)
Yi-6B,01-ai/Yi-6B,01.AI,2023,0,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,server/unspecified,card: no on-device or local statement found,,,
Yi-34B,01-ai/Yi-34B,01.AI,2023,0,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,server/unspecified,card: no on-device or local statement found,,,
Yi-1.5-34B,01-ai/Yi-1.5-34B,01.AI,2024,1,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,server/unspecified,card: no on-device or local statement found,a_dedupe,'continuously pre-trained on Yi with a high-quality corpus of 500B tokens',hf.co/01-ai/Yi-1.5-34B card
Yi-1.5-9B,01-ai/Yi-1.5-9B,01.AI,2024,1,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,server/unspecified,card: no on-device or local statement found,d_distilled_pruned,"continued from Yi-9B, which was depth-upscaled from Yi-6B (derived initialization)",hf.co/01-ai/Yi-1.5-9B card; Yi-9B card
Yi-1.5-6B,01-ai/Yi-1.5-6B,01.AI,2024,1,Yi API platform (2024); Yi-6B/34B released Nov 2023 before the API,server/unspecified,card: no on-device or local statement found,a_dedupe,'continuously pre-trained on Yi with a high-quality corpus of 500B tokens',hf.co/01-ai/Yi-1.5-6B card
gemma-7b,google/gemma-7b,Google,2024,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",,,
gemma-2b,google/gemma-2b,Google,2024,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",,,
gemma-2-27b,google/gemma-2-27b,Google,2024,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",,,
gemma-2-9b,google/gemma-2-9b,Google,2024,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",d_distilled_pruned,'we train the 2B and 9B models with knowledge distillation',gemmateam2024gemma2 (arXiv:2408.00118)
gemma-2-2b,google/gemma-2-2b,Google,2024,1,Google Cloud Vertex AI / Gemini API; Gemma served on Vertex AI and AI Studio,local,"card: 'deploy them in environments with limited resources such as a laptop, desktop'",d_distilled_pruned,'we train the 2B and 9B models with knowledge distillation',gemmateam2024gemma2 (arXiv:2408.00118)
falcon-180B,tiiuae/falcon-180B,TII,2023,0,no first-party commercial LLM API (Falcon served by third parties),server/unspecified,card: no on-device or local statement found,,,
falcon-40b,tiiuae/falcon-40b,TII,2023,0,no first-party commercial LLM API (Falcon served by third parties),server/unspecified,card: no on-device or local statement found,,,
falcon-7b,tiiuae/falcon-7b,TII,2023,0,no first-party commercial LLM API (Falcon served by third parties),server/unspecified,card: no on-device or local statement found,,,
falcon-rw-1b,tiiuae/falcon-rw-1b,TII,2023,0,no first-party commercial LLM API (Falcon served by third parties),server/unspecified,card: no on-device or local statement found,b1_research_suite,Falcon-RW-1B: RefinedWeb ablation model trained for 350B tokens (hf.co/tiiuae/falcon-rw-1b card),model card / paper
phi-2,microsoft/phi-2,Microsoft,2023,1,Azure AI (Foundry) model catalog serves Phi models,server/unspecified,card: no on-device or local statement found,,,
phi-1_5,microsoft/phi-1_5,Microsoft,2023,1,Azure AI (Foundry) model catalog serves Phi models,server/unspecified,card: no on-device or local statement found,,,
bloom-560m,bigscience/bloom-560m,BigScience,2022,0,research workshop,server/unspecified,card: no on-device or local statement found,b1_research_suite,BigScience BLOOM: all sizes trained on ~341B ROOTS tokens (176B: 366B); research release (hf.co/bigscience/bloom card),model card / paper
bloom-1b1,bigscience/bloom-1b1,BigScience,2022,0,research workshop,server/unspecified,card: no on-device or local statement found,b1_research_suite,BigScience BLOOM: all sizes trained on ~341B ROOTS tokens (176B: 366B); research release (hf.co/bigscience/bloom card),model card / paper
bloom-3b,bigscience/bloom-3b,BigScience,2022,0,research workshop,server/unspecified,card: no on-device or local statement found,b1_research_suite,BigScience BLOOM: all sizes trained on ~341B ROOTS tokens (176B: 366B); research release (hf.co/bigscience/bloom card),model card / paper
bloom-7b1,bigscience/bloom-7b1,BigScience,2022,0,research workshop,server/unspecified,card: no on-device or local statement found,b1_research_suite,BigScience BLOOM: all sizes trained on ~341B ROOTS tokens (176B: 366B); research release (hf.co/bigscience/bloom card),model card / paper
bloom,bigscience/bloom,BigScience,2022,0,research workshop,server/unspecified,card: no on-device or local statement found,b1_research_suite,BigScience BLOOM: all sizes trained on ~341B ROOTS tokens (176B: 366B); research release (hf.co/bigscience/bloom card),model card / paper
gpt-neox-20b,EleutherAI/gpt-neox-20b,EleutherAI,2022,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,EleutherAI GPT-Neo/J/NeoX: trained on the Pile to fixed budgets (300-472B) (hf.co/EleutherAI cards),model card / paper
gpt-neo-2.7B,EleutherAI/gpt-neo-2.7B,EleutherAI,2021,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,EleutherAI GPT-Neo/J/NeoX: trained on the Pile to fixed budgets (300-472B) (hf.co/EleutherAI cards),model card / paper
gpt-neo-1.3B,EleutherAI/gpt-neo-1.3B,EleutherAI,2021,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,EleutherAI GPT-Neo/J/NeoX: trained on the Pile to fixed budgets (300-472B) (hf.co/EleutherAI cards),model card / paper
gpt-neo-125m,EleutherAI/gpt-neo-125m,EleutherAI,2021,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,EleutherAI GPT-Neo/J/NeoX: trained on the Pile to fixed budgets (300-472B) (hf.co/EleutherAI cards),model card / paper
gpt-j-6b,EleutherAI/gpt-j-6b,EleutherAI,2021,0,non-profit research,server/unspecified,card: no on-device or local statement found,b1_research_suite,EleutherAI GPT-Neo/J/NeoX: trained on the Pile to fixed budgets (300-472B) (hf.co/EleutherAI cards),model card / paper
opt-6.7b,facebook/opt-6.7b,Meta,2022,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper
opt-1.3b,facebook/opt-1.3b,Meta,2022,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper
opt-350m,facebook/opt-350m,Meta,2022,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper
opt-13b,facebook/opt-13b,Meta,2022,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper
opt-2.7b,facebook/opt-2.7b,Meta,2022,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper
opt-30b,facebook/opt-30b,Meta,2022,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper
opt-125m,facebook/opt-125m,Meta,2022,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper
opt-66b,facebook/opt-66b,Meta,2022,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",server/unspecified,card: no on-device or local statement found,b1_research_suite,OPT suite: all sizes trained for 300B tokens to replicate GPT-3 (zhang2022opt),model card / paper
