model,field,ra2_value,corrected_value,changed,source_key,url,quote,note
stablelm-base-alpha-3b,D,1500000000000.0,800000000000.0,True,stablelm_github,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,"| 3B | [checkpoint](https://huggingface.co/stabilityai/stablelm-base-alpha-3b/) | [checkpoint](https://huggingface.co/stabilityai/stablelm-tuned-alpha-3b/) | 800B | 3,638,525,952 |",
stablelm-base-alpha-3b,N,3000000000.0,3638525952.0,True,stablelm_github,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,"| 3B | [checkpoint](https://huggingface.co/stabilityai/stablelm-base-alpha-3b/) | [checkpoint](https://huggingface.co/stabilityai/stablelm-tuned-alpha-3b/) | 800B | 3,638,525,952 |",
stablelm-base-alpha-7b,D,1500000000000.0,800000000000.0,True,stablelm_github,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,"| 7B | [checkpoint](https://huggingface.co/stabilityai/stablelm-base-alpha-7b) | [checkpoint](https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b) | 800B | 7,869,358,080 |",
stablelm-base-alpha-7b,N,7000000000.0,7869358080.0,True,stablelm_github,https://raw.githubusercontent.com/Stability-AI/StableLM/main/README.md,"| 7B | [checkpoint](https://huggingface.co/stabilityai/stablelm-base-alpha-7b) | [checkpoint](https://huggingface.co/stabilityai/stablelm-tuned-alpha-7b) | 800B | 7,869,358,080 |",
mpt-30b,D,1000000000000.0,1050000000000.0,True,mpt30b_blog,https://www.databricks.com/blog/mpt-30b,"we first pre-trained on 1T tokens using sequences that were 2k tokens long, and continued training for an additional 50B tokens using sequences that were 8k tokens long.",
OLMo-2-1124-13B,D,5150000000000.0,5150000000000.0,False,olmo2_report,https://arxiv.org/pdf/2501.00656,OLMo 2 13B is trained on 5.6 trillion tokens (5 trillion for pretraining stage),"convention: pretraining tokens plus the mean mid-training budget of the averaged runs (5T + (3 x 100B + 300B)/4); the report's total, 5.6T, adds every averaged run"
OLMo-2-0325-32B,D,6150000000000.0,6150000000000.0,False,olmo2_report,https://arxiv.org/pdf/2501.00656,OLMo 2 32B is trained on 6.6 trillion tokens (6.06 trillion for pretraining stage),"convention as for the 13B: 6T (release post: 'up to 6T tokens', 1.5 epochs) + 150B; the report's total is 6.6T and it gives 6.06T for the pretraining stage"
OLMo-2-1124-7B,D,4050000000000.0,4050000000000.0,False,olmo2_report,https://arxiv.org/pdf/2501.00656,OLMo 2 7B is trained on 4 .05 trillion tokens (3.90 trillion for pretraining stage),"convention: 4T stage 1 (release post: one epoch, up to 4T) + 50B (three averaged 50B runs); the report's 4.05T total adds the three runs to a 3.90T pretraining stage, which would give 3.95T under the convention"
OLMo-2-0425-1B,D,4050000000000.0,4050000000000.0,False,olmo2_report,https://arxiv.org/pdf/2501.00656,We pretrain OLMo 2 1B to 4 trillion tokens on OLMo 2 Mix 1124 and perform a single 50B token anneal on Dolmino Mix 1124.,4T + one 50B anneal (no averaging)
Yi-6B,D,3000000000000.0,3000000000000.0,False,yi_report,https://arxiv.org/pdf/2403.04652,we overtrain the model on more tokens (3T) than the compute optimal (around 1T).,kept at 3T (the report's over-training statement and the model card); the report also gives 3.1T
Yi-34B,D,3000000000000.0,3000000000000.0,False,yi_report,https://arxiv.org/pdf/2403.04652,Our model is trained on 3.1T tokens,kept at 3T; the 3.1T of this sentence would raise M by 3 percent
Qwen2.5-0.5B,D,18000000000000.0,18000000000000.0,False,qwen25_blog,https://qwenlm.github.io/blog/qwen2.5/,"all models are pretrained on our latest large-scale dataset, encompassing up to 18 trillion tokens.",flag: per-member budgets not stated ('up to 18 trillion'); the same flag applies to all seven Qwen2.5 sizes
