model,uid,developer,release_date,N_B,serve_developer,serve_model,serve_ambiguous,serve_model_hi,channel,demo,evidence_origin,evidence_date,lag_days,source_key,url,retrieved,quote,quote_verified,note
Llama-2-7b-hf,B:meta-llama/Llama-2-7b-hf,Meta,2023-07-18,6.738417664,0,0,False,0,none documented (Meta AI launched later on a custom model),0,model,2023-09-27,71.0,meta_ai_launch_2023,https://about.fb.com/news/2023/09/introducing-ai-powered-assistants-characters-and-creative-tools/,2026-09-24T18:25:41,It’s powered by a custom model that leverages technology from Llama 2 and our latest large language model (LLM) research.,True,"Meta AI launched 71 days after Llama 2 on a custom model, not a released size"
Llama-2-13b-hf,B:meta-llama/Llama-2-13b-hf,Meta,2023-07-18,13.01586688,0,0,False,0,none documented (Meta AI launched later on a custom model),0,same release,2023-09-27,71.0,meta_ai_launch_2023,https://about.fb.com/news/2023/09/introducing-ai-powered-assistants-characters-and-creative-tools/,2026-09-24T18:25:41,It’s powered by a custom model that leverages technology from Llama 2 and our latest large language model (LLM) research.,True,"Meta AI launched 71 days after Llama 2 on a custom model, not a released size; evidence from the same release (Llama-2-7b-hf)"
Llama-2-70b-hf,B:meta-llama/Llama-2-70b-hf,Meta,2023-07-18,68.976653312,0,0,False,0,none documented (Meta AI launched later on a custom model),0,same release,2023-09-27,71.0,meta_ai_launch_2023,https://about.fb.com/news/2023/09/introducing-ai-powered-assistants-characters-and-creative-tools/,2026-09-24T18:25:41,It’s powered by a custom model that leverages technology from Llama 2 and our latest large language model (LLM) research.,True,"Meta AI launched 71 days after Llama 2 on a custom model, not a released size; evidence from the same release (Llama-2-7b-hf)"
llama-7b,B:huggyllama/llama-7b,Meta,2023-02-24,6.738417664,0,0,False,0,none (research release),0,model,2023-02-24,0.0,llama1_blog,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,2026-09-24T18:26:19,we are releasing our model under a noncommercial license focused on research use cases.,True,
llama-13b,B:huggyllama/llama-13b,Meta,2023-02-27,13.01586688,0,0,False,0,none (research release),0,same release,2023-02-24,-3.0,llama1_blog,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,2026-09-24T18:26:19,we are releasing our model under a noncommercial license focused on research use cases.,True,evidence from the same release (llama-7b)
llama-30b,B:huggyllama/llama-30b,Meta,2023-02-27,32.528947456,0,0,False,0,none (research release),0,same release,2023-02-24,-3.0,llama1_blog,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,2026-09-24T18:26:19,we are releasing our model under a noncommercial license focused on research use cases.,True,evidence from the same release (llama-7b)
llama-65b,B:huggyllama/llama-65b,Meta,2023-02-24,65.285665792,0,0,False,0,none (research release),0,same release,2023-02-24,0.0,llama1_blog,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,2026-09-24T18:26:19,we are releasing our model under a noncommercial license focused on research use cases.,True,evidence from the same release (llama-7b)
Meta-Llama-3-70B,B:meta-llama/Meta-Llama-3-70B,Meta,2024-04-18,70.553706496,1,0,True,1,consumer product uses the family; size undisclosed,0,model,2024-04-18,0.0,llama3_blog,https://ai.meta.com/blog/meta-llama-3/,2026-09-24T18:17:52,"Meta AI, built with Llama 3 technology, is now one of the world’s leading AI assistants",True,as for the 8B
Meta-Llama-3-8B,B:meta-llama/Meta-Llama-3-8B,Meta,2024-04-18,8.030261248,1,0,True,1,consumer product uses the family; size undisclosed,0,model,2024-04-18,0.0,llama3_blog,https://ai.meta.com/blog/meta-llama-3/,2026-09-24T18:17:52,"Meta AI, built with Llama 3 technology, is now one of the world’s leading AI assistants",True,Meta AI 'built with Llama 3 technology'; no first-party statement that the 8B served (Llama API launched Apr 2025)
Llama-3.1-405B,B:meta-llama/Llama-3.1-405B,Meta,2024-07-23,405.8533888,1,1,False,1,consumer product (Meta AI on WhatsApp and meta.ai),0,model,2024-07-23,0.0,llama31_blog,https://ai.meta.com/blog/meta-llama-3-1/,2026-09-24T18:25:43,Try Llama 3.1 405B in the US on WhatsApp and at meta.ai by asking a challenging math or coding question.,True,
Qwen-72B,B:Qwen/Qwen-72B,Alibaba,2023-11-30,72.287920128,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-02-02,64.0,wb_dashscope_qwen_20240202,http://web.archive.org/web/20240202212821id_/https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-7b-14b-72b-api-detailes,2026-09-24T18:25:17,qwen-72b-chat 通义千问对外开源的72B规模参数量的经过人类指令对齐的chat模型,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen-14B,B:Qwen/Qwen-14B,Alibaba,2023-09-28,14.16729088,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-02-02,127.0,wb_dashscope_qwen_20240202,http://web.archive.org/web/20240202212821id_/https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-7b-14b-72b-api-detailes,2026-09-24T18:25:17,qwen-14b-chat 通义千问对外开源的14B规模参数量的经过人类指令对齐的chat模型,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen-7B,B:Qwen/Qwen-7B,Alibaba,2023-09-28,7.721324544,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-02-02,127.0,wb_dashscope_qwen_20240202,http://web.archive.org/web/20240202212821id_/https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-7b-14b-72b-api-detailes,2026-09-24T18:25:17,qwen-7b-chat 通义千问对外开源的7B规模参数量的经过人类指令对齐的chat模型,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen2-72B,B:Qwen/Qwen2-72B,Alibaba,2024-06-07,72.706203648,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-07-17,40.0,wb_dashscope_qwen_20240717,http://web.archive.org/web/20240717113723id_/https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-7b-14b-72b-api-detailes,2026-09-24T18:25:19,灵积平台上基于Qwen2开源的0.5B、1.5B、7B、72B和57B-A14B MoE模型的instruct版本，并进行了针对性的推理性能优化，为广大开发者提供便捷的API服务,True,archived first-party catalog (Wayback capture date = evidence date)
Qwen2-7B,B:Qwen/Qwen2-7B,Alibaba,2024-06-07,7.615616512,1,1,False,1,"managed API (per-token, Alibaba Cloud DashScope / Model Studio)",0,model,2024-07-17,40.0,wb_dashscope_qwen_20240717,http://web.archive.org/web/20240717113723id_/https://help.aliyun.com/zh/dashscope/developer-reference/tongyi-qianwen-7b-14b-72b-api-detailes,2026-09-24T18:25:19,灵积平台上基于Qwen2开源的0.5B、1.5B、7B、72B和57B-A14B MoE模型的instruct版本，并进行了针对性的推理性能优化，为广大开发者提供便捷的API服务,True,archived first-party catalog (Wayback capture date = evidence date)
