uid,model,hf,family,dev,year,drop_step,drop_reason,drop_source,deploy,deploy_source,serve,serve_source,f_dup,f_suite,f_repl,f_moe,f_distilled,f_multimodal,f_instruct_only,f_nontransformer,f_D_undoc,f_m3_distilled,f_synthetic
B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,meta-llama/Llama-2-7b-hf,Llama-2,Meta,2023,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False
B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,meta-llama/Llama-2-13b-hf,Llama-2,Meta,2023,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False
B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,meta-llama/Llama-2-70b-hf,Llama-2,Meta,2023,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False
B:huggyllama/llama-7b,llama-7b,huggyllama/llama-7b,Llama,Meta,2023,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False
B:huggyllama/llama-13b,llama-13b,huggyllama/llama-13b,Llama,Meta,2023,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False
B:huggyllama/llama-30b,llama-30b,huggyllama/llama-30b,Llama,Meta,2023,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False
B:huggyllama/llama-65b,llama-65b,huggyllama/llama-65b,Llama,Meta,2023,,,,server/unspecified,card: no on-device or local statement found,0,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False
B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,meta-llama/Meta-Llama-3-70B,Llama-3,Meta,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False
B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B,Llama-3,Meta,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False
B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,meta-llama/Llama-3.1-405B,Llama-3.1,Meta,2024,,,,server/unspecified,card: no on-device or local statement found,1,"Meta AI assistant (launched 2023-09-27) serves Llama; Llama API (Apr 2025). Llama 1 (Feb 2023, research) and Llama 2 (Jul 2023, served by partners, not first-party) coded 0",False,False,False,False,False,False,False,False,False,False,False
