check,claim,passed,metric
pi.tilt.refere,reference: tilt psi_N=-psi_D=t/2 with t=-0.61: argmin moves by t at every compute; marginal products > 0; single-peaked,True,"max|shift-t|=2.7e-07 min MP=2.35e-02 peaks=[1, 1, 1, 1]; -2chi/S=-0.6100"
pi.tilt.refere,reference: tilt psi_N=-psi_D=t/2 with t=0.35: argmin moves by t at every compute; marginal products > 0; single-peaked,True,"max|shift-t|=2.0e-07 min MP=2.35e-02 peaks=[1, 1, 1, 1]; -2chi/S=0.3500"
pi.tilt.refere,reference: tilt psi_N=-psi_D=t/2 with t=1.2: argmin moves by t at every compute; marginal products > 0; single-peaked,True,"max|shift-t|=1.4e-07 min MP=2.35e-02 peaks=[1, 1, 1, 1]; -2chi/S=1.2000"
pi.tilt.(ii) c,(ii) construction: tilt psi_N=-psi_D=t/2 with t=-0.61: argmin moves by t at every compute; marginal products > 0; single-peaked,True,"max|shift-t|=2.9e-07 min MP=2.35e-02 peaks=[1, 1, 1, 1]"
pi.tilt.(ii) c,(ii) construction: tilt psi_N=-psi_D=t/2 with t=0.35: argmin moves by t at every compute; marginal products > 0; single-peaked,True,"max|shift-t|=1.4e-07 min MP=2.35e-02 peaks=[1, 1, 1, 1]"
pi.tilt.(ii) c,(ii) construction: tilt psi_N=-psi_D=t/2 with t=1.2: argmin moves by t at every compute; marginal products > 0; single-peaked,True,"max|shift-t|=2.5e-07 min MP=2.35e-02 peaks=[1, 1, 1, 1]"
pi.tilt.non-se,non-separable: tilt psi_N=-psi_D=t/2 with t=-0.61: argmin moves by t at every compute; marginal products > 0; single-peaked,True,"max|shift-t|=5.2e-08 min MP=3.69e-01 peaks=[1, 1, 1]"
pi.tilt.non-se,non-separable: tilt psi_N=-psi_D=t/2 with t=0.35: argmin moves by t at every compute; marginal products > 0; single-peaked,True,"max|shift-t|=9.4e-08 min MP=3.69e-01 peaks=[1, 1, 1]"
pi.tilt.non-se,non-separable: tilt psi_N=-psi_D=t/2 with t=1.2: argmin moves by t at every compute; marginal products > 0; single-peaked,True,"max|shift-t|=8.9e-08 min MP=3.69e-01 peaks=[1, 1, 1]"
pi.sharp,point 0.00 of X*_tau(c) at 1e25 is x*_dev of an admissible developer technology,True,"target=0.8809 x*_dev=0.8809 anchor reproduced to 0.0e+00, |tilt|=0.610 <= ln tau=0.610"
pi.sharp,point 0.13 of X*_tau(c) at 1e25 is x*_dev of an admissible developer technology,True,"target=1.6722 x*_dev=1.6722 anchor reproduced to 0.0e+00, |tilt|=0.000 <= ln tau=0.610"
pi.sharp,point 0.50 of X*_tau(c) at 1e25 is x*_dev of an admissible developer technology,True,"target=3.9242 x*_dev=3.9242 anchor reproduced to 0.0e+00, |tilt|=0.000 <= ln tau=0.610"
pi.sharp,point 0.87 of X*_tau(c) at 1e25 is x*_dev of an admissible developer technology,True,"target=6.1763 x*_dev=6.1763 anchor reproduced to 0.0e+00, |tilt|=0.000 <= ln tau=0.610"
pi.sharp,point 1.00 of X*_tau(c) at 1e25 is x*_dev of an admissible developer technology,True,"target=6.9675 x*_dev=6.9675 anchor reproduced to 0.0e+00, |tilt|=0.610 <= ln tau=0.610"
pi.contain,20000 random draws: x*_dev in X*_tau(c); sign(w-1) = sign(x - x*_dev); (iv) magnitude bounds,True,"set violations 0, sign violations 0, magnitude violations 0"
pi.band,"simultaneous 95% band (Working-Hotelling, known noise) covers its path; widened by ln tau it covers x*_dev(c) at every c for a worst-case tilt |t| = ln tau, and so does the widened union (>= 0.95 - 2 MC s.e.)",True,"coverage: path by its band 0.9828; x*_dev by the widened band 0.9830; by the widened union 0.9958 (MC s.e. 0.0034, R=4000)"
corA2,unequal exponents: cosh form agrees with Lemma A5 only to second order in ln w,True,w=2.198: A5 1.641 vs cosh 1.623; w=5.454: A5 8.715 vs cosh 7.945; w=13.500: A5 101.190 vs cosh 77.951
defA2.K,"generalized family: R*(C) = K (C/6)^(-gamma), K = ((S/b1) A G^(-a1))^kappa; path n* = ln G + a(c - ln 6)",True,"max abs error: ln R* 6.7e-16, n* 1.4e-07 (kappa = 0.7741)"
A2.iii,"information for ln M*(C0) is O(varsigma^2) like ln G's, and for S O(varsigma^4)",True,"slopes: S 3.999, ln G 2.000, ln M*(1e21) 1.999; I(lnM*)/[I(lnG)/4] = 139-139"
